t=2025-12-15T16:06:43+0500 lvl=info msg="no configuration paths supplied"
t=2025-12-15T16:06:43+0500 lvl=info msg="using configuration at default config path" path="/Users/talha/Library/Application Support/ngrok/ngrok.yml"
t=2025-12-15T16:06:43+0500 lvl=info msg="open config file" path="/Users/talha/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-12-15T16:10:15+0500 lvl=info msg="join connections" obj=join id=9f83eddf6baf l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:10:17+0500 lvl=info msg="join connections" obj=join id=611991979052 l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:10:19+0500 lvl=info msg="join connections" obj=join id=fc04b9ca8454 l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:10:21+0500 lvl=info msg="join connections" obj=join id=c7ad4c216d79 l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:10:23+0500 lvl=info msg="join connections" obj=join id=dba3ada74d36 l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:10:25+0500 lvl=info msg="join connections" obj=join id=196a0250b28b l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:10:27+0500 lvl=info msg="join connections" obj=join id=a76a87cafb4c l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:10:29+0500 lvl=info msg="join connections" obj=join id=ae7933cb840f l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:10:31+0500 lvl=info msg="join connections" obj=join id=a25e2d6242cc l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:10:33+0500 lvl=info msg="join connections" obj=join id=8ce4c10a0155 l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:10:35+0500 lvl=info msg="join connections" obj=join id=c8a881a9e07c l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:10:37+0500 lvl=info msg="join connections" obj=join id=9f6205e2e718 l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:10:39+0500 lvl=info msg="join connections" obj=join id=1990474e624c l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:10:41+0500 lvl=info msg="join connections" obj=join id=5606cd2fd44d l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
